date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:55	178/178	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202020%2005:27:53%20GMT	https://demo.bootstrapious.com/robots.txt		(from )
22:27:55	38047/38047	---MCZ	200	added ('OK')	text/html	etag:W/%225e70a1da-949f%22	https://demo.bootstrapious.com/jobs/2-1-0/	C:/My%20Web%20Sites/comejointoday%20template/demo.bootstrapious.com/jobs/2-1-0/index.html	(from )
22:27:55	31000/31000	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2010:10:48%20GMT	https://d19m59y37dris4.cloudfront.net/jobs/2-1-0/vendor/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/comejointoday%20template/d19m59y37dris4.cloudfront.net/jobs/2-1-0/vendor/font-awesome/css/font-awesome.min.css	(from https://demo.bootstrapious.com/jobs/2-1-0/)
22:27:56	4744/4744	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2010:11:45%20GMT	https://d19m59y37dris4.cloudfront.net/jobs/2-1-0/vendor/owl.carousel/assets/owl.carousel.css	C:/My%20Web%20Sites/comejointoday%20template/d19m59y37dris4.cloudfront.net/jobs/2-1-0/vendor/owl.carousel/assets/owl.carousel.css	(from https://demo.bootstrapious.com/jobs/2-1-0/)
22:27:56	159515/159515	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2010:09:51%20GMT	https://d19m59y37dris4.cloudfront.net/jobs/2-1-0/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/comejointoday%20template/d19m59y37dris4.cloudfront.net/jobs/2-1-0/vendor/bootstrap/css/bootstrap.min.css	(from https://demo.bootstrapious.com/jobs/2-1-0/)
22:27:56	1380/1380	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2010:11:46%20GMT	https://d19m59y37dris4.cloudfront.net/jobs/2-1-0/vendor/owl.carousel/assets/owl.theme.default.css	C:/My%20Web%20Sites/comejointoday%20template/d19m59y37dris4.cloudfront.net/jobs/2-1-0/vendor/owl.carousel/assets/owl.theme.default.css	(from https://demo.bootstrapious.com/jobs/2-1-0/)
22:27:56	57193/57193	---MCZ	200	added ('OK')	text/css	date:Tue,%2017%20Mar%202020%2010:08:26%20GMT	https://d19m59y37dris4.cloudfront.net/jobs/2-1-0/css/style.default.css	C:/My%20Web%20Sites/comejointoday%20template/d19m59y37dris4.cloudfront.net/jobs/2-1-0/css/style.default.css	(from https://demo.bootstrapious.com/jobs/2-1-0/)
22:27:56	25/25	---M--	200	added ('OK')	text/css	etag:%225e70a197-19%22	https://d19m59y37dris4.cloudfront.net/jobs/2-1-0/css/custom.css	C:/My%20Web%20Sites/comejointoday%20template/d19m59y37dris4.cloudfront.net/jobs/2-1-0/css/custom.css	(from https://demo.bootstrapious.com/jobs/2-1-0/)
22:27:57	6093/6093	---M--	200	added ('OK')	image/png	etag:%225e70a1a4-17cd%22	https://demo.bootstrapious.com/jobs/2-1-0/favicon.png	C:/My%20Web%20Sites/comejointoday%20template/demo.bootstrapious.com/jobs/2-1-0/favicon.png	(from https://demo.bootstrapious.com/jobs/2-1-0/)
22:27:57	38047/38047	---MCZ	200	added ('OK')	text/html	etag:W/%225e70a1da-949f%22	https://demo.bootstrapious.com/jobs/2-1-0/index.html	C:/My%20Web%20Sites/comejointoday%20template/demo.bootstrapious.com/jobs/2-1-0/index-2.html	(from https://demo.bootstrapious.com/jobs/2-1-0/)
22:27:57	8122/8122	---M--	200	added ('OK')	image/png	etag:%225e70a1bf-1fba%22	https://d19m59y37dris4.cloudfront.net/jobs/2-1-0/img/logo.png	C:/My%20Web%20Sites/comejointoday%20template/d19m59y37dris4.cloudfront.net/jobs/2-1-0/img/logo.png	(from https://demo.bootstrapious.com/jobs/2-1-0/)
22:27:57	6093/6093	---M--	200	added ('OK')	image/png	etag:%225e70a1be-17cd%22	https://d19m59y37dris4.cloudfront.net/jobs/2-1-0/img/logo-small.png	C:/My%20Web%20Sites/comejointoday%20template/d19m59y37dris4.cloudfront.net/jobs/2-1-0/img/logo-small.png	(from https://demo.bootstrapious.com/jobs/2-1-0/)
